142,PAVONES,ENSANCHE DE VALLECAS;
143,PLAZA DE MANUEL BECERRA,VILLA DE VALLECAS;
144,PAVONES,ENTREVIAS;
145,PLAZA DEL CONDE DE CASAL,ENSANCHE DE VALLECAS;
146,PLAZA DEL CALLAO,LOS MOLINOS;
147,PLAZA DEL CALLAO,BARRIO DEL PILAR;
148,PLAZA DEL CALLAO,PUENTE DE VALLECAS;
149,TRIBUNAL,PLAZA DE CASTILLA;
150,PUERTA DEL SOL/SEVILLA,COLONIA VIRGEN DEL CORTIJO;
151,CANILLEJAS,BARAJAS;
152,AVENIDA DE FELIPE II,MENDEZ ALVARO;
153,LAS ROSAS,MAR DE CRISTAL;
155,PLAZA ELIPTICA,ALUCHE;
156,PLAZA DE MANUEL BECERRA,PLAZA DE LEGAZPI;
160,MONCLOA,ARAVACA;
161,MONCLOA,ESTACION DE ARAVACA;
162,MONCLOA,EL BARRIAL;
172,MAR DE CRISTAL,TELEFONICA;
173,PLAZA DE CASTILLA,SANCHINARRO;
174,PLAZA DE CASTILLA,SANCHINARRO ESTE;
176,PLAZA DE CASTILLA,LAS TABLAS;
177,PLAZA DE CASTILLA,MARQUES DE VIANA;
178,PLAZA DE CASTILLA,MONTECARMELO;
180,PLAZA DE LEGAZPI,CAJA MAGICA;
200,AVENIDA DE AMERICA,AEROPUERTO;
203,ATOCHA RENFE,AEROPUERTO;
210,PLAZA DE MANUEL BECERRA,LA ELIPA;
215,AVENIDA DE FELIPE II,PARQUE DE ROMA;
247,ATOCHA,COLONIA SAN JOSE OBRERO;
310,PACIFICO,ESTACION EL POZO;
172SF,MAR DE CRISTAL,LAS TABLAS;
E1,ATOCHA,PLAZA ELIPTICA;
E2,AVENIDA DE FELIPE II,LAS ROSAS;
E3,AVENIDA DE FELIPE II,PUERTA DE ARGANDA;
T11,MAR DE CRISTAL,PARQUE EMPRESARIAL CRISTALIA;
T23,PUERTA DE ARGANDA,POLIGONO INDUSTRIAL DE VICALVARO;
T32,PLAZA DE LEGAZPI,MERCAMADRID-C.T.M;
T31,ESTACION EL POZO,SIERRA DE GUADALUPE;
T61,ESTACION DE CERCANIAS DE FUENCARRAL,LAS TABLAS;
T41,VILLAVERDE ALTO,POLIGONO INDUSTRIAL LA RESINA;
T62,PLAZA DE CASTILLA,ESTACION DE CHAMARTIN;
H1,SIERRA DE GUADALUPE,HOSPITAL INFANTA LEONOR;
N1,PLAZA DE CIBELES,SANCHINARRO;
N2,PLAZA DE CIBELES,HORTALEZA;
N3,PLAZA DE CIBELES,CANILLAS;
N4,PLAZA DE CIBELES,BARAJAS;
N5,PLAZA DE CIBELES,COLONIA FIN DE SEMANA;
N6,PLAZA DE CIBELES,LAS ROSAS;
N7,PLAZA DE CIBELES,VICALVARO;
N8,PLAZA DE CIBELES,VALDEBERNARDO;
N9,PLAZA DE CIBELES,ENSANCHE DE VALLECAS;
N10,PLAZA DE CIBELES,PALOMERAS;
N11,PLAZA DE CIBELES,MADRID SUR;
N12,PLAZA DE CIBELES,BARRIO DE LOS ROSALES;
N13,PLAZA DE CIBELES,COLONIA SAN CRISTOBAL DE LOS ANGELES;
N14,PLAZA DE CIBELES,VILLAVERDE ALTO;
N15,PLAZA DE CIBELES,ORCASUR;
